English,Tovian,IPA,Roots
auxiliary-form: 1st optative middle inceptive (past),ilhemoye, / iɬ.em.ˈoj.e / ,_
auxiliary-form: 1st optative middle inceptive (present),ilhemoya, / iɬ.em.ˈoj.a / ,_
auxiliary-form: 1st optative middle iterative (future),ilhemono, / iɬ.em.ˈon.o / ,_
auxiliary-form: 1st optative middle iterative (past),ilhemone, / iɬ.em.ˈon.e / ,_
auxiliary-form: 1st optative middle iterative (present),ilhemona, / iɬ.em.ˈon.a / ,_
auxiliary-form: 1st optative middle near (future),ilhemotlo, / iɬ.em.ˈoƛ.o / ,_
auxiliary-form: 1st optative middle near (past),ilhemotle, / iɬ.em.ˈoƛ.e / ,_
auxiliary-form: 1st optative middle near (present),ilhemotla, / iɬ.em.ˈoƛ.a / ,_
auxiliary-form: 1st optative middle perfect (future),ilhemolho, / iɬ.em.ˈoɬ.o / ,_
auxiliary-form: 1st optative middle perfect (past),ilhemolhe, / iɬ.em.ˈoɬ.e / ,_
auxiliary-form: 1st optative middle perfect (present),ilhemolha, / iɬ.em.ˈoɬ.a / ,_
auxiliary-form: 1st optative middle progressive (future),ilhemoso, / iɬ.em.ˈos.o / ,_
auxiliary-form: 1st optative middle progressive (past),ilhemose, / iɬ.em.ˈos.e / ,_
auxiliary-form: 1st optative middle progressive (present),ilhemosa, / iɬ.em.ˈos.a / ,_
auxiliary-form: 1st optative middle remote (future),ilhemoho, / iɬ.em.ˈoh.o / ,_
auxiliary-form: 1st optative middle remote (past),ilhemohe, / iɬ.em.ˈoh.e / ,_
auxiliary-form: 1st optative middle remote (present),ilhemoha, / iɬ.em.ˈoh.a / ,_
auxiliary-form: 1st optative middle simple (future),ilhemofo, / iɬ.em.ˈof.o / ,_
auxiliary-form: 1st optative middle simple (past),ilhemofe, / iɬ.em.ˈof.e / ,_
auxiliary-form: 1st optative middle simple (present),ilhemofa, / iɬ.em.ˈof.a / ,_
auxiliary-form: 1st optative near (future),ilhetlo, / iɬ.ˈeƛ.o / ,_
auxiliary-form: 1st optative near (past),ilhetle, / iɬ.ˈeƛ.e / ,_
auxiliary-form: 1st optative near (present),ilhetla, / iɬ.ˈeƛ.a / ,_
auxiliary-form: 1st optative passive cessative (future),ilhepapo, / iɬ.ep.ˈap.o / ,_
auxiliary-form: 1st optative passive cessative (past),ilhepape, / iɬ.ep.ˈap.e / ,_
auxiliary-form: 1st optative passive cessative (present),ilhepapa, / iɬ.ep.ˈap.a / ,_
auxiliary-form: 1st optative passive continuous (future),ilhepasho, / iɬ.ep.ˈaʃ.o / ,_
auxiliary-form: 1st optative passive continuous (past),ilhepashe, / iɬ.ep.ˈaʃ.e / ,_
auxiliary-form: 1st optative passive continuous (present),ilhepasha, / iɬ.ep.ˈaʃ.a / ,_
auxiliary-form: 1st optative passive habitual (future),ilhepamo, / iɬ.ep.ˈam.o / ,_
auxiliary-form: 1st optative passive habitual (past),ilhepame, / iɬ.ep.ˈam.e / ,_
auxiliary-form: 1st optative passive habitual (present),ilhepama, / iɬ.ep.ˈam.a / ,_
auxiliary-form: 1st optative passive immediate (future),ilhepako, / iɬ.ep.ˈak.o / ,_
auxiliary-form: 1st optative passive immediate (past),ilhepake, / iɬ.ep.ˈak.e / ,_
auxiliary-form: 1st optative passive immediate (present),ilhepaka, / iɬ.ep.ˈak.a / ,_
auxiliary-form: 1st optative passive imperfective (future),ilhepatho, / iɬ.ep.ˈaθ.o / ,_
auxiliary-form: 1st optative passive imperfective (past),ilhepathe, / iɬ.ep.ˈaθ.e / ,_
auxiliary-form: 1st optative passive imperfective (present),ilhepatha, / iɬ.ep.ˈaθ.a / ,_
auxiliary-form: 1st optative passive inceptive (future),ilhepayo, / iɬ.ep.ˈaj.o / ,_
auxiliary-form: 1st optative passive inceptive (past),ilhepaye, / iɬ.ep.ˈaj.e / ,_
auxiliary-form: 1st optative passive inceptive (present),ilhepaya, / iɬ.ep.ˈaj.a / ,_
auxiliary-form: 1st optative passive iterative (future),ilhepano, / iɬ.ep.ˈan.o / ,_
auxiliary-form: 1st optative passive iterative (past),ilhepane, / iɬ.ep.ˈan.e / ,_
auxiliary-form: 1st optative passive iterative (present),ilhepana, / iɬ.ep.ˈan.a / ,_
auxiliary-form: 1st optative passive near (future),ilhepatlo, / iɬ.ep.ˈaƛ.o / ,_
auxiliary-form: 1st optative passive near (past),ilhepatle, / iɬ.ep.ˈaƛ.e / ,_
auxiliary-form: 1st optative passive near (present),ilhepatla, / iɬ.ep.ˈaƛ.a / ,_
auxiliary-form: 1st optative passive perfect (future),ilhepalho, / iɬ.ep.ˈaɬ.o / ,_
auxiliary-form: 1st optative passive perfect (past),ilhepalhe, / iɬ.ep.ˈaɬ.e / ,_
auxiliary-form: 1st optative passive perfect (present),ilhepalha, / iɬ.ep.ˈaɬ.a / ,_
auxiliary-form: 1st optative passive progressive (future),ilhepaso, / iɬ.ep.ˈas.o / ,_
auxiliary-form: 1st optative passive progressive (past),ilhepase, / iɬ.ep.ˈas.e / ,_
auxiliary-form: 1st optative passive progressive (present),ilhepasa, / iɬ.ep.ˈas.a / ,_
auxiliary-form: 1st optative passive remote (future),ilhepaho, / iɬ.ep.ˈah.o / ,_
auxiliary-form: 1st optative passive remote (past),ilhepahe, / iɬ.ep.ˈah.e / ,_
auxiliary-form: 1st optative passive remote (present),ilhepaha, / iɬ.ep.ˈah.a / ,_
auxiliary-form: 1st optative passive simple (future),ilhepafo, / iɬ.ep.ˈaf.o / ,_
auxiliary-form: 1st optative passive simple (past),ilhepafe, / iɬ.ep.ˈaf.e / ,_
auxiliary-form: 1st optative passive simple (present),ilhepafa, / iɬ.ep.ˈaf.a / ,_
auxiliary-form: 1st optative perfect (future),ilhelho, / iɬ.ˈeɬ.o / ,_
auxiliary-form: 1st optative perfect (past),ilhelhe, / iɬ.ˈeɬ.e / ,_
auxiliary-form: 1st optative perfect (present),ilhelha, / iɬ.ˈeɬ.a / ,_
auxiliary-form: 1st optative progressive (future),ilheso, / iɬ.ˈes.o / ,_
auxiliary-form: 1st optative progressive (past),ilhese, / iɬ.ˈes.e / ,_
auxiliary-form: 1st optative progressive (present),ilhesa, / iɬ.ˈes.a / ,_
auxiliary-form: 1st optative reciprocal cessative (future),ilherapo, / iɬ.er.ˈap.o / ,_
auxiliary-form: 1st optative reciprocal cessative (past),ilherape, / iɬ.er.ˈap.e / ,_
auxiliary-form: 1st optative reciprocal cessative (present),ilherapa, / iɬ.er.ˈap.a / ,_
auxiliary-form: 1st optative reciprocal continuous (future),ilherasho, / iɬ.er.ˈaʃ.o / ,_
auxiliary-form: 1st optative reciprocal continuous (past),ilherashe, / iɬ.er.ˈaʃ.e / ,_
auxiliary-form: 1st optative reciprocal continuous (present),ilherasha, / iɬ.er.ˈaʃ.a / ,_
auxiliary-form: 1st optative reciprocal habitual (future),ilheramo, / iɬ.er.ˈam.o / ,_
auxiliary-form: 1st optative reciprocal habitual (past),ilherame, / iɬ.er.ˈam.e / ,_
auxiliary-form: 1st optative reciprocal habitual (present),ilherama, / iɬ.er.ˈam.a / ,_
auxiliary-form: 1st optative reciprocal immediate (future),ilherako, / iɬ.er.ˈak.o / ,_
auxiliary-form: 1st optative reciprocal immediate (past),ilherake, / iɬ.er.ˈak.e / ,_
auxiliary-form: 1st optative reciprocal immediate (present),ilheraka, / iɬ.er.ˈak.a / ,_
auxiliary-form: 1st optative reciprocal imperfective (future),ilheratho, / iɬ.er.ˈaθ.o / ,_
auxiliary-form: 1st optative reciprocal imperfective (past),ilherathe, / iɬ.er.ˈaθ.e / ,_
auxiliary-form: 1st optative reciprocal imperfective (present),ilheratha, / iɬ.er.ˈaθ.a / ,_
auxiliary-form: 1st optative reciprocal inceptive (future),ilherayo, / iɬ.er.ˈaj.o / ,_
auxiliary-form: 1st optative reciprocal inceptive (past),ilheraye, / iɬ.er.ˈaj.e / ,_
auxiliary-form: 1st optative reciprocal inceptive (present),ilheraya, / iɬ.er.ˈaj.a / ,_
auxiliary-form: 1st optative reciprocal iterative (future),ilherano, / iɬ.er.ˈan.o / ,_
auxiliary-form: 1st optative reciprocal iterative (past),ilherane, / iɬ.er.ˈan.e / ,_
auxiliary-form: 1st optative reciprocal iterative (present),ilherana, / iɬ.er.ˈan.a / ,_
auxiliary-form: 1st optative reciprocal near (future),ilheratlo, / iɬ.er.ˈaƛ.o / ,_
auxiliary-form: 1st optative reciprocal near (past),ilheratle, / iɬ.er.ˈaƛ.e / ,_
auxiliary-form: 1st optative reciprocal near (present),ilheratla, / iɬ.er.ˈaƛ.a / ,_
auxiliary-form: 1st optative reciprocal perfect (future),ilheralho, / iɬ.er.ˈaɬ.o / ,_
auxiliary-form: 1st optative reciprocal perfect (past),ilheralhe, / iɬ.er.ˈaɬ.e / ,_
auxiliary-form: 1st optative reciprocal perfect (present),ilheralha, / iɬ.er.ˈaɬ.a / ,_
auxiliary-form: 1st optative reciprocal progressive (future),ilheraso, / iɬ.er.ˈas.o / ,_
auxiliary-form: 1st optative reciprocal progressive (past),ilherase, / iɬ.er.ˈas.e / ,_
auxiliary-form: 1st optative reciprocal progressive (present),ilherasa, / iɬ.er.ˈas.a / ,_
auxiliary-form: 1st optative reciprocal remote (future),ilheraho, / iɬ.er.ˈah.o / ,_
auxiliary-form: 1st optative reciprocal remote (past),ilherahe, / iɬ.er.ˈah.e / ,_
auxiliary-form: 1st optative reciprocal remote (present),ilheraha, / iɬ.er.ˈah.a / ,_
auxiliary-form: 1st optative reciprocal simple (future),ilherafo, / iɬ.er.ˈaf.o / ,_
auxiliary-form: 1st optative reciprocal simple (past),ilherafe, / iɬ.er.ˈaf.e / ,_
auxiliary-form: 1st optative reciprocal simple (present),ilherafa, / iɬ.er.ˈaf.a / ,_
auxiliary-form: 1st optative reflexive cessative (future),ilhetepo, / iɬ.et.ˈep.o / ,_
auxiliary-form: 1st optative reflexive cessative (past),ilhetepe, / iɬ.et.ˈep.e / ,_
auxiliary-form: 1st optative reflexive cessative (present),ilhetepa, / iɬ.et.ˈep.a / ,_
auxiliary-form: 1st optative reflexive continuous (future),ilhetesho, / iɬ.et.ˈeʃ.o / ,_
auxiliary-form: 1st optative reflexive continuous (past),ilheteshe, / iɬ.et.ˈeʃ.e / ,_
auxiliary-form: 1st optative reflexive continuous (present),ilhetesha, / iɬ.et.ˈeʃ.a / ,_
auxiliary-form: 1st optative reflexive habitual (future),ilhetemo, / iɬ.et.ˈem.o / ,_
auxiliary-form: 1st optative reflexive habitual (past),ilheteme, / iɬ.et.ˈem.e / ,_
auxiliary-form: 1st optative reflexive habitual (present),ilhetema, / iɬ.et.ˈem.a / ,_
auxiliary-form: 1st optative reflexive immediate (future),ilheteko, / iɬ.et.ˈek.o / ,_
auxiliary-form: 1st optative reflexive immediate (past),ilheteke, / iɬ.et.ˈek.e / ,_
auxiliary-form: 1st optative reflexive immediate (present),ilheteka, / iɬ.et.ˈek.a / ,_
auxiliary-form: 1st optative reflexive imperfective (future),ilhetetho, / iɬ.et.ˈeθ.o / ,_
auxiliary-form: 1st optative reflexive imperfective (past),ilhetethe, / iɬ.et.ˈeθ.e / ,_
auxiliary-form: 1st optative reflexive imperfective (present),ilhetetha, / iɬ.et.ˈeθ.a / ,_
auxiliary-form: 1st optative reflexive inceptive (future),ilheteyo, / iɬ.et.ˈej.o / ,_
auxiliary-form: 1st optative reflexive inceptive (past),ilheteye, / iɬ.et.ˈej.e / ,_
auxiliary-form: 1st optative reflexive inceptive (present),ilheteya, / iɬ.et.ˈej.a / ,_
auxiliary-form: 1st optative reflexive iterative (future),ilheteno, / iɬ.et.ˈen.o / ,_
auxiliary-form: 1st optative reflexive iterative (past),ilhetene, / iɬ.et.ˈen.e / ,_
auxiliary-form: 1st optative reflexive iterative (present),ilhetena, / iɬ.et.ˈen.a / ,_
auxiliary-form: 1st optative reflexive near (future),ilhetetlo, / iɬ.et.ˈeƛ.o / ,_
auxiliary-form: 1st optative reflexive near (past),ilhetetle, / iɬ.et.ˈeƛ.e / ,_
auxiliary-form: 1st optative reflexive near (present),ilhetetla, / iɬ.et.ˈeƛ.a / ,_
auxiliary-form: 1st optative reflexive perfect (future),ilhetelho, / iɬ.et.ˈeɬ.o / ,_
auxiliary-form: 1st optative reflexive perfect (past),ilhetelhe, / iɬ.et.ˈeɬ.e / ,_
auxiliary-form: 1st optative reflexive perfect (present),ilhetelha, / iɬ.et.ˈeɬ.a / ,_
auxiliary-form: 1st optative reflexive progressive (future),ilheteso, / iɬ.et.ˈes.o / ,_
auxiliary-form: 1st optative reflexive progressive (past),ilhetese, / iɬ.et.ˈes.e / ,_
auxiliary-form: 1st optative reflexive progressive (present),ilhetesa, / iɬ.et.ˈes.a / ,_
auxiliary-form: 1st optative reflexive remote (future),ilheteho, / iɬ.et.ˈeh.o / ,_
auxiliary-form: 1st optative reflexive remote (past),ilhetehe, / iɬ.et.ˈeh.e / ,_
auxiliary-form: 1st optative reflexive remote (present),ilheteha, / iɬ.et.ˈeh.a / ,_
auxiliary-form: 1st optative reflexive simple (future),ilhetefo, / iɬ.et.ˈef.o / ,_
auxiliary-form: 1st optative reflexive simple (past),ilhetefe, / iɬ.et.ˈef.e / ,_
auxiliary-form: 1st optative reflexive simple (present),ilhetefa, / iɬ.et.ˈef.a / ,_
auxiliary-form: 1st optative remote (future),ilheho, / iɬ.ˈeh.o / ,_
auxiliary-form: 1st optative remote (past),ilhehe, / iɬ.ˈeh.e / ,_
auxiliary-form: 1st optative remote (present),ilheha, / iɬ.ˈeh.a / ,_
auxiliary-form: 1st optative simple (future),ilhefo, / iɬ.ˈef.o / ,_
auxiliary-form: 1st optative simple (past),ilhefe, / iɬ.ˈef.e / ,_
auxiliary-form: 1st optative simple (present),ilhefa, / iɬ.ˈef.a / ,_
auxiliary-form: 1st passive cessative (future),ipapo, / ip.ˈap.o / ,_
auxiliary-form: 1st passive cessative (past),ipape, / ip.ˈap.e / ,_
auxiliary-form: 1st passive cessative (present),ipapa, / ip.ˈap.a / ,_
auxiliary-form: 1st passive continuous (future),ipasho, / ip.ˈaʃ.o / ,_
auxiliary-form: 1st passive continuous (past),ipashe, / ip.ˈaʃ.e / ,_
auxiliary-form: 1st passive continuous (present),ipasha, / ip.ˈaʃ.a / ,_
auxiliary-form: 1st passive habitual (future),ipamo, / ip.ˈam.o / ,_
auxiliary-form: 1st passive habitual (past),ipame, / ip.ˈam.e / ,_
auxiliary-form: 1st passive habitual (present),ipama, / ip.ˈam.a / ,_
auxiliary-form: 1st passive immediate (future),ipako, / ip.ˈak.o / ,_
auxiliary-form: 1st passive immediate (past),ipake, / ip.ˈak.e / ,_
auxiliary-form: 1st passive immediate (present),ipaka, / ip.ˈak.a / ,_
auxiliary-form: 1st passive imperfective (future),ipatho, / ip.ˈaθ.o / ,_
auxiliary-form: 1st passive imperfective (past),ipathe, / ip.ˈaθ.e / ,_
auxiliary-form: 1st passive imperfective (present),ipatha, / ip.ˈaθ.a / ,_
auxiliary-form: 1st passive inceptive (future),ipayo, / ip.ˈaj.o / ,_
auxiliary-form: 1st passive inceptive (past),ipaye, / ip.ˈaj.e / ,_
auxiliary-form: 1st passive inceptive (present),ipaya, / ip.ˈaj.a / ,_
auxiliary-form: 1st passive iterative (future),ipano, / ip.ˈan.o / ,_
auxiliary-form: 1st passive iterative (past),ipane, / ip.ˈan.e / ,_
auxiliary-form: 1st passive iterative (present),ipana, / ip.ˈan.a / ,_
auxiliary-form: 1st passive near (future),ipatlo, / ip.ˈaƛ.o / ,_
auxiliary-form: 1st passive near (past),ipatle, / ip.ˈaƛ.e / ,_
auxiliary-form: 1st passive near (present),ipatla, / ip.ˈaƛ.a / ,_
auxiliary-form: 1st passive perfect (future),ipalho, / ip.ˈaɬ.o / ,_
auxiliary-form: 1st passive perfect (past),ipalhe, / ip.ˈaɬ.e / ,_
auxiliary-form: 1st passive perfect (present),ipalha, / ip.ˈaɬ.a / ,_
auxiliary-form: 1st passive progressive (future),ipaso, / ip.ˈas.o / ,_
auxiliary-form: 1st passive progressive (past),ipase, / ip.ˈas.e / ,_
auxiliary-form: 1st passive progressive (present),ipasa, / ip.ˈas.a / ,_
auxiliary-form: 1st passive remote (future),ipaho, / ip.ˈah.o / ,_
auxiliary-form: 1st passive remote (past),ipahe, / ip.ˈah.e / ,_
auxiliary-form: 1st passive remote (present),ipaha, / ip.ˈah.a / ,_
auxiliary-form: 1st passive simple (future),ipafo, / ip.ˈaf.o / ,_
auxiliary-form: 1st passive simple (past),ipafe, / ip.ˈaf.e / ,_
auxiliary-form: 1st passive simple (present),ipafa, / ip.ˈaf.a / ,_
auxiliary-form: 1st perfect (future),ilho, / ˈiɬ.o / ,_
auxiliary-form: 1st perfect (past),ilhe, / ˈiɬ.e / ,_
auxiliary-form: 1st perfect (present),ilha, / ˈiɬ.a / ,_
auxiliary-form: 1st potential causative cessative (future),ishokepo, / iʃ.ok.ˈep.o / ,_
auxiliary-form: 1st potential causative cessative (past),ishokepe, / iʃ.ok.ˈep.e / ,_
auxiliary-form: 1st potential causative cessative (present),ishokepa, / iʃ.ok.ˈep.a / ,_
auxiliary-form: 1st potential causative continuous (future),ishokesho, / iʃ.ok.ˈeʃ.o / ,_
auxiliary-form: 1st potential causative continuous (past),ishokeshe, / iʃ.ok.ˈeʃ.e / ,_
auxiliary-form: 1st potential causative continuous (present),ishokesha, / iʃ.ok.ˈeʃ.a / ,_
auxiliary-form: 1st potential causative habitual (future),ishokemo, / iʃ.ok.ˈem.o / ,_
auxiliary-form: 1st potential causative habitual (past),ishokeme, / iʃ.ok.ˈem.e / ,_
auxiliary-form: 1st potential causative habitual (present),ishokema, / iʃ.ok.ˈem.a / ,_
auxiliary-form: 1st potential causative immediate (future),ishokeko, / iʃ.ok.ˈek.o / ,_
auxiliary-form: 1st potential causative immediate (past),ishokeke, / iʃ.ok.ˈek.e / ,_
auxiliary-form: 1st potential causative immediate (present),ishokeka, / iʃ.ok.ˈek.a / ,_
auxiliary-form: 1st potential causative imperfective (future),ishoketho, / iʃ.ok.ˈeθ.o / ,_
auxiliary-form: 1st potential causative imperfective (past),ishokethe, / iʃ.ok.ˈeθ.e / ,_
auxiliary-form: 1st potential causative imperfective (present),ishoketha, / iʃ.ok.ˈeθ.a / ,_
auxiliary-form: 1st potential causative inceptive (future),ishokeyo, / iʃ.ok.ˈej.o / ,_
auxiliary-form: 1st potential causative inceptive (past),ishokeye, / iʃ.ok.ˈej.e / ,_
auxiliary-form: 1st potential causative inceptive (present),ishokeya, / iʃ.ok.ˈej.a / ,_
auxiliary-form: 1st potential causative iterative (future),ishokeno, / iʃ.ok.ˈen.o / ,_
auxiliary-form: 1st potential causative iterative (past),ishokene, / iʃ.ok.ˈen.e / ,_
auxiliary-form: 1st potential causative iterative (present),ishokena, / iʃ.ok.ˈen.a / ,_
auxiliary-form: 1st potential causative near (future),ishoketlo, / iʃ.ok.ˈeƛ.o / ,_
auxiliary-form: 1st potential causative near (past),ishoketle, / iʃ.ok.ˈeƛ.e / ,_
auxiliary-form: 1st potential causative near (present),ishoketla, / iʃ.ok.ˈeƛ.a / ,_
auxiliary-form: 1st potential causative perfect (future),ishokelho, / iʃ.ok.ˈeɬ.o / ,_
auxiliary-form: 1st potential causative perfect (past),ishokelhe, / iʃ.ok.ˈeɬ.e / ,_
auxiliary-form: 1st potential causative perfect (present),ishokelha, / iʃ.ok.ˈeɬ.a / ,_
auxiliary-form: 1st potential causative progressive (future),ishokeso, / iʃ.ok.ˈes.o / ,_
auxiliary-form: 1st potential causative progressive (past),ishokese, / iʃ.ok.ˈes.e / ,_
auxiliary-form: 1st potential causative progressive (present),ishokesa, / iʃ.ok.ˈes.a / ,_
auxiliary-form: 1st potential causative remote (future),ishokeho, / iʃ.ok.ˈeh.o / ,_
auxiliary-form: 1st potential causative remote (past),ishokehe, / iʃ.ok.ˈeh.e / ,_
auxiliary-form: 1st potential causative remote (present),ishokeha, / iʃ.ok.ˈeh.a / ,_
auxiliary-form: 1st potential causative simple (future),ishokefo, / iʃ.ok.ˈef.o / ,_
auxiliary-form: 1st potential causative simple (past),ishokefe, / iʃ.ok.ˈef.e / ,_
auxiliary-form: 1st potential causative simple (present),ishokefa, / iʃ.ok.ˈef.a / ,_
auxiliary-form: 1st potential cessative (future),ishopo, / iʃ.ˈop.o / ,_
auxiliary-form: 1st potential cessative (past),ishope, / iʃ.ˈop.e / ,_
auxiliary-form: 1st potential cessative (present),ishopa, / iʃ.ˈop.a / ,_
auxiliary-form: 1st potential continuous (future),ishosho, / iʃ.ˈoʃ.o / ,_
auxiliary-form: 1st potential continuous (past),ishoshe, / iʃ.ˈoʃ.e / ,_
auxiliary-form: 1st potential continuous (present),ishosha, / iʃ.ˈoʃ.a / ,_
auxiliary-form: 1st potential habitual (future),ishomo, / iʃ.ˈom.o / ,_
auxiliary-form: 1st potential habitual (past),ishome, / iʃ.ˈom.e / ,_
auxiliary-form: 1st potential habitual (present),ishoma, / iʃ.ˈom.a / ,_
auxiliary-form: 1st potential immediate (future),ishoko, / iʃ.ˈok.o / ,_
auxiliary-form: 1st potential immediate (past),ishoke, / iʃ.ˈok.e / ,_
auxiliary-form: 1st potential immediate (present),ishoka, / iʃ.ˈok.a / ,_
auxiliary-form: 1st potential imperfective (future),ishotho, / iʃ.ˈoθ.o / ,_
auxiliary-form: 1st potential imperfective (past),ishothe, / iʃ.ˈoθ.e / ,_
auxiliary-form: 1st potential imperfective (present),ishotha, / iʃ.ˈoθ.a / ,_
auxiliary-form: 1st potential inceptive (future),ishoyo, / iʃ.ˈoj.o / ,_
auxiliary-form: 1st potential inceptive (past),ishoye, / iʃ.ˈoj.e / ,_
auxiliary-form: 1st potential inceptive (present),ishoya, / iʃ.ˈoj.a / ,_
auxiliary-form: 1st potential iterative (future),ishono, / iʃ.ˈon.o / ,_
auxiliary-form: 1st potential iterative (past),ishone, / iʃ.ˈon.e / ,_
auxiliary-form: 1st potential iterative (present),ishona, / iʃ.ˈon.a / ,_
auxiliary-form: 1st potential middle cessative (future),ishomopo, / iʃ.om.ˈop.o / ,_
auxiliary-form: 1st potential middle cessative (past),ishomope, / iʃ.om.ˈop.e / ,_
auxiliary-form: 1st potential middle cessative (present),ishomopa, / iʃ.om.ˈop.a / ,_
auxiliary-form: 1st potential middle continuous (future),ishomosho, / iʃ.om.ˈoʃ.o / ,_
auxiliary-form: 1st potential middle continuous (past),ishomoshe, / iʃ.om.ˈoʃ.e / ,_
auxiliary-form: 1st potential middle continuous (present),ishomosha, / iʃ.om.ˈoʃ.a / ,_
auxiliary-form: 1st potential middle habitual (future),ishomomo, / iʃ.om.ˈom.o / ,_
auxiliary-form: 1st potential middle habitual (past),ishomome, / iʃ.om.ˈom.e / ,_
auxiliary-form: 1st potential middle habitual (present),ishomoma, / iʃ.om.ˈom.a / ,_
auxiliary-form: 1st potential middle immediate (future),ishomoko, / iʃ.om.ˈok.o / ,_
auxiliary-form: 1st potential middle immediate (past),ishomoke, / iʃ.om.ˈok.e / ,_
auxiliary-form: 1st potential middle immediate (present),ishomoka, / iʃ.om.ˈok.a / ,_
auxiliary-form: 1st potential middle imperfective (future),ishomotho, / iʃ.om.ˈoθ.o / ,_
auxiliary-form: 1st potential middle imperfective (past),ishomothe, / iʃ.om.ˈoθ.e / ,_
auxiliary-form: 1st potential middle imperfective (present),ishomotha, / iʃ.om.ˈoθ.a / ,_
auxiliary-form: 1st potential middle inceptive (future),ishomoyo, / iʃ.om.ˈoj.o / ,_
auxiliary-form: 1st potential middle inceptive (past),ishomoye, / iʃ.om.ˈoj.e / ,_
auxiliary-form: 1st potential middle inceptive (present),ishomoya, / iʃ.om.ˈoj.a / ,_
auxiliary-form: 1st potential middle iterative (future),ishomono, / iʃ.om.ˈon.o / ,_
auxiliary-form: 1st potential middle iterative (past),ishomone, / iʃ.om.ˈon.e / ,_
auxiliary-form: 1st potential middle iterative (present),ishomona, / iʃ.om.ˈon.a / ,_
auxiliary-form: 1st potential middle near (future),ishomotlo, / iʃ.om.ˈoƛ.o / ,_
auxiliary-form: 1st potential middle near (past),ishomotle, / iʃ.om.ˈoƛ.e / ,_
auxiliary-form: 1st potential middle near (present),ishomotla, / iʃ.om.ˈoƛ.a / ,_
auxiliary-form: 1st potential middle perfect (future),ishomolho, / iʃ.om.ˈoɬ.o / ,_
auxiliary-form: 1st potential middle perfect (past),ishomolhe, / iʃ.om.ˈoɬ.e / ,_
auxiliary-form: 1st potential middle perfect (present),ishomolha, / iʃ.om.ˈoɬ.a / ,_
auxiliary-form: 1st potential middle progressive (future),ishomoso, / iʃ.om.ˈos.o / ,_
auxiliary-form: 1st potential middle progressive (past),ishomose, / iʃ.om.ˈos.e / ,_
auxiliary-form: 1st potential middle progressive (present),ishomosa, / iʃ.om.ˈos.a / ,_
auxiliary-form: 1st potential middle remote (future),ishomoho, / iʃ.om.ˈoh.o / ,_
auxiliary-form: 1st potential middle remote (past),ishomohe, / iʃ.om.ˈoh.e / ,_
auxiliary-form: 1st potential middle remote (present),ishomoha, / iʃ.om.ˈoh.a / ,_
auxiliary-form: 1st potential middle simple (future),ishomofo, / iʃ.om.ˈof.o / ,_
auxiliary-form: 1st potential middle simple (past),ishomofe, / iʃ.om.ˈof.e / ,_
auxiliary-form: 1st potential middle simple (present),ishomofa, / iʃ.om.ˈof.a / ,_
auxiliary-form: 1st potential near (future),ishotlo, / iʃ.ˈoƛ.o / ,_
auxiliary-form: 1st potential near (past),ishotle, / iʃ.ˈoƛ.e / ,_
auxiliary-form: 1st potential near (present),ishotla, / iʃ.ˈoƛ.a / ,_
auxiliary-form: 1st potential passive cessative (future),ishopapo, / iʃ.op.ˈap.o / ,_
auxiliary-form: 1st potential passive cessative (past),ishopape, / iʃ.op.ˈap.e / ,_
auxiliary-form: 1st potential passive cessative (present),ishopapa, / iʃ.op.ˈap.a / ,_
auxiliary-form: 1st potential passive continuous (future),ishopasho, / iʃ.op.ˈaʃ.o / ,_
auxiliary-form: 1st potential passive continuous (past),ishopashe, / iʃ.op.ˈaʃ.e / ,_
auxiliary-form: 1st potential passive continuous (present),ishopasha, / iʃ.op.ˈaʃ.a / ,_
auxiliary-form: 1st potential passive habitual (future),ishopamo, / iʃ.op.ˈam.o / ,_
auxiliary-form: 1st potential passive habitual (past),ishopame, / iʃ.op.ˈam.e / ,_
auxiliary-form: 1st potential passive habitual (present),ishopama, / iʃ.op.ˈam.a / ,_
auxiliary-form: 1st potential passive immediate (future),ishopako, / iʃ.op.ˈak.o / ,_
auxiliary-form: 1st potential passive immediate (past),ishopake, / iʃ.op.ˈak.e / ,_
auxiliary-form: 1st potential passive immediate (present),ishopaka, / iʃ.op.ˈak.a / ,_
auxiliary-form: 1st potential passive imperfective (future),ishopatho, / iʃ.op.ˈaθ.o / ,_
auxiliary-form: 1st potential passive imperfective (past),ishopathe, / iʃ.op.ˈaθ.e / ,_
auxiliary-form: 1st potential passive imperfective (present),ishopatha, / iʃ.op.ˈaθ.a / ,_
auxiliary-form: 1st potential passive inceptive (future),ishopayo, / iʃ.op.ˈaj.o / ,_
auxiliary-form: 1st potential passive inceptive (past),ishopaye, / iʃ.op.ˈaj.e / ,_
auxiliary-form: 1st potential passive inceptive (present),ishopaya, / iʃ.op.ˈaj.a / ,_
auxiliary-form: 1st potential passive iterative (future),ishopano, / iʃ.op.ˈan.o / ,_
auxiliary-form: 1st potential passive iterative (past),ishopane, / iʃ.op.ˈan.e / ,_
auxiliary-form: 1st potential passive iterative (present),ishopana, / iʃ.op.ˈan.a / ,_
auxiliary-form: 1st potential passive near (future),ishopatlo, / iʃ.op.ˈaƛ.o / ,_
auxiliary-form: 1st potential passive near (past),ishopatle, / iʃ.op.ˈaƛ.e / ,_
