english,tovian,tovian_ipa,gloss
aux_1_con_mid_ces_fut,ikomopo,ik.om.ˈop.o,auxiliary-form: 1st conditional middle cessative (future)
aux_1_con_mid_rem_pst,ikomohe,ik.om.ˈoh.e,auxiliary-form: 1st conditional middle remote (past)
aux_1_con_mid_rem_prs,ikomoha,ik.om.ˈoh.a,auxiliary-form: 1st conditional middle remote (present)
aux_1_con_mid_rem_fut,ikomoho,ik.om.ˈoh.o,auxiliary-form: 1st conditional middle remote (future)
aux_1_con_cau_sim_pst,ikokefe,ik.ok.ˈef.e,auxiliary-form: 1st conditional causative simple (past)
aux_1_con_cau_sim_prs,ikokefa,ik.ok.ˈef.a,auxiliary-form: 1st conditional causative simple (present)
aux_1_con_cau_sim_fut,ikokefo,ik.ok.ˈef.o,auxiliary-form: 1st conditional causative simple (future)
aux_1_con_cau_ipf_pst,ikokethe,ik.ok.ˈeθ.e,auxiliary-form: 1st conditional causative imperfective (past)
aux_1_con_cau_ipf_prs,ikoketha,ik.ok.ˈeθ.a,auxiliary-form: 1st conditional causative imperfective (present)
aux_1_con_cau_ipf_fut,ikoketho,ik.ok.ˈeθ.o,auxiliary-form: 1st conditional causative imperfective (future)
aux_1_con_cau_prf_pst,ikokelhe,ik.ok.ˈeɬ.e,auxiliary-form: 1st conditional causative perfect (past)
aux_1_con_cau_prf_prs,ikokelha,ik.ok.ˈeɬ.a,auxiliary-form: 1st conditional causative perfect (present)
aux_1_con_cau_prf_fut,ikokelho,ik.ok.ˈeɬ.o,auxiliary-form: 1st conditional causative perfect (future)
aux_1_con_cau_nea_pst,ikoketle,ik.ok.ˈeƛ.e,auxiliary-form: 1st conditional causative near (past)
aux_1_con_cau_nea_prs,ikoketla,ik.ok.ˈeƛ.a,auxiliary-form: 1st conditional causative near (present)
aux_1_con_cau_nea_fut,ikoketlo,ik.ok.ˈeƛ.o,auxiliary-form: 1st conditional causative near (future)
aux_1_con_cau_imm_pst,ikokeke,ik.ok.ˈek.e,auxiliary-form: 1st conditional causative immediate (past)
aux_1_con_cau_imm_prs,ikokeka,ik.ok.ˈek.a,auxiliary-form: 1st conditional causative immediate (present)
aux_1_con_cau_imm_fut,ikokeko,ik.ok.ˈek.o,auxiliary-form: 1st conditional causative immediate (future)
aux_1_con_cau_hab_pst,ikokeme,ik.ok.ˈem.e,auxiliary-form: 1st conditional causative habitual (past)
aux_1_con_cau_hab_prs,ikokema,ik.ok.ˈem.a,auxiliary-form: 1st conditional causative habitual (present)
aux_1_con_cau_hab_fut,ikokemo,ik.ok.ˈem.o,auxiliary-form: 1st conditional causative habitual (future)
aux_1_con_cau_pro_pst,ikokese,ik.ok.ˈes.e,auxiliary-form: 1st conditional causative progressive (past)
aux_1_con_cau_pro_prs,ikokesa,ik.ok.ˈes.a,auxiliary-form: 1st conditional causative progressive (present)
aux_1_con_cau_pro_fut,ikokeso,ik.ok.ˈes.o,auxiliary-form: 1st conditional causative progressive (future)
aux_1_con_cau_cnt_pst,ikokeshe,ik.ok.ˈeʃ.e,auxiliary-form: 1st conditional causative continuous (past)
aux_1_con_cau_cnt_prs,ikokesha,ik.ok.ˈeʃ.a,auxiliary-form: 1st conditional causative continuous (present)
aux_1_con_cau_cnt_fut,ikokesho,ik.ok.ˈeʃ.o,auxiliary-form: 1st conditional causative continuous (future)
aux_1_con_cau_itr_pst,ikokene,ik.ok.ˈen.e,auxiliary-form: 1st conditional causative iterative (past)
aux_1_con_cau_itr_prs,ikokena,ik.ok.ˈen.a,auxiliary-form: 1st conditional causative iterative (present)
aux_1_con_cau_itr_fut,ikokeno,ik.ok.ˈen.o,auxiliary-form: 1st conditional causative iterative (future)
aux_1_con_cau_inc_pst,ikokeye,ik.ok.ˈej.e,auxiliary-form: 1st conditional causative inceptive (past)
aux_1_con_cau_inc_prs,ikokeya,ik.ok.ˈej.a,auxiliary-form: 1st conditional causative inceptive (present)
aux_1_con_cau_inc_fut,ikokeyo,ik.ok.ˈej.o,auxiliary-form: 1st conditional causative inceptive (future)
aux_1_con_cau_ces_pst,ikokepe,ik.ok.ˈep.e,auxiliary-form: 1st conditional causative cessative (past)
aux_1_con_cau_ces_prs,ikokepa,ik.ok.ˈep.a,auxiliary-form: 1st conditional causative cessative (present)
aux_1_con_cau_ces_fut,ikokepo,ik.ok.ˈep.o,auxiliary-form: 1st conditional causative cessative (future)
aux_1_con_cau_rem_pst,ikokehe,ik.ok.ˈeh.e,auxiliary-form: 1st conditional causative remote (past)
aux_1_con_cau_rem_prs,ikokeha,ik.ok.ˈeh.a,auxiliary-form: 1st conditional causative remote (present)
aux_1_con_cau_rem_fut,ikokeho,ik.ok.ˈeh.o,auxiliary-form: 1st conditional causative remote (future)
aux_1_con_rec_sim_pst,ikorafe,ik.or.ˈaf.e,auxiliary-form: 1st conditional reciprocal simple (past)
aux_1_con_rec_sim_prs,ikorafa,ik.or.ˈaf.a,auxiliary-form: 1st conditional reciprocal simple (present)
aux_1_con_rec_sim_fut,ikorafo,ik.or.ˈaf.o,auxiliary-form: 1st conditional reciprocal simple (future)
aux_1_con_rec_ipf_pst,ikorathe,ik.or.ˈaθ.e,auxiliary-form: 1st conditional reciprocal imperfective (past)
aux_1_con_rec_ipf_prs,ikoratha,ik.or.ˈaθ.a,auxiliary-form: 1st conditional reciprocal imperfective (present)
aux_1_con_rec_ipf_fut,ikoratho,ik.or.ˈaθ.o,auxiliary-form: 1st conditional reciprocal imperfective (future)
aux_1_con_rec_prf_pst,ikoralhe,ik.or.ˈaɬ.e,auxiliary-form: 1st conditional reciprocal perfect (past)
aux_1_con_rec_prf_prs,ikoralha,ik.or.ˈaɬ.a,auxiliary-form: 1st conditional reciprocal perfect (present)
aux_1_con_rec_prf_fut,ikoralho,ik.or.ˈaɬ.o,auxiliary-form: 1st conditional reciprocal perfect (future)
aux_1_con_rec_nea_pst,ikoratle,ik.or.ˈaƛ.e,auxiliary-form: 1st conditional reciprocal near (past)
aux_1_con_rec_nea_prs,ikoratla,ik.or.ˈaƛ.a,auxiliary-form: 1st conditional reciprocal near (present)
aux_1_con_rec_nea_fut,ikoratlo,ik.or.ˈaƛ.o,auxiliary-form: 1st conditional reciprocal near (future)
aux_1_con_rec_imm_pst,ikorake,ik.or.ˈak.e,auxiliary-form: 1st conditional reciprocal immediate (past)
aux_1_con_rec_imm_prs,ikoraka,ik.or.ˈak.a,auxiliary-form: 1st conditional reciprocal immediate (present)
aux_1_con_rec_imm_fut,ikorako,ik.or.ˈak.o,auxiliary-form: 1st conditional reciprocal immediate (future)
aux_1_con_rec_hab_pst,ikorame,ik.or.ˈam.e,auxiliary-form: 1st conditional reciprocal habitual (past)
aux_1_con_rec_hab_prs,ikorama,ik.or.ˈam.a,auxiliary-form: 1st conditional reciprocal habitual (present)
aux_1_con_rec_hab_fut,ikoramo,ik.or.ˈam.o,auxiliary-form: 1st conditional reciprocal habitual (future)
aux_1_con_rec_pro_pst,ikorase,ik.or.ˈas.e,auxiliary-form: 1st conditional reciprocal progressive (past)
aux_1_con_rec_pro_prs,ikorasa,ik.or.ˈas.a,auxiliary-form: 1st conditional reciprocal progressive (present)
aux_1_con_rec_pro_fut,ikoraso,ik.or.ˈas.o,auxiliary-form: 1st conditional reciprocal progressive (future)
aux_1_con_rec_cnt_pst,ikorashe,ik.or.ˈaʃ.e,auxiliary-form: 1st conditional reciprocal continuous (past)
aux_1_con_rec_cnt_prs,ikorasha,ik.or.ˈaʃ.a,auxiliary-form: 1st conditional reciprocal continuous (present)
aux_1_con_rec_cnt_fut,ikorasho,ik.or.ˈaʃ.o,auxiliary-form: 1st conditional reciprocal continuous (future)
aux_1_con_rec_itr_pst,ikorane,ik.or.ˈan.e,auxiliary-form: 1st conditional reciprocal iterative (past)
aux_1_con_rec_itr_prs,ikorana,ik.or.ˈan.a,auxiliary-form: 1st conditional reciprocal iterative (present)
aux_1_con_rec_itr_fut,ikorano,ik.or.ˈan.o,auxiliary-form: 1st conditional reciprocal iterative (future)
aux_1_con_rec_inc_pst,ikoraye,ik.or.ˈaj.e,auxiliary-form: 1st conditional reciprocal inceptive (past)
aux_1_con_rec_inc_prs,ikoraya,ik.or.ˈaj.a,auxiliary-form: 1st conditional reciprocal inceptive (present)
aux_1_con_rec_inc_fut,ikorayo,ik.or.ˈaj.o,auxiliary-form: 1st conditional reciprocal inceptive (future)
aux_1_con_rec_ces_pst,ikorape,ik.or.ˈap.e,auxiliary-form: 1st conditional reciprocal cessative (past)
aux_1_con_rec_ces_prs,ikorapa,ik.or.ˈap.a,auxiliary-form: 1st conditional reciprocal cessative (present)
aux_1_con_rec_ces_fut,ikorapo,ik.or.ˈap.o,auxiliary-form: 1st conditional reciprocal cessative (future)
aux_1_con_rec_rem_pst,ikorahe,ik.or.ˈah.e,auxiliary-form: 1st conditional reciprocal remote (past)
aux_1_con_rec_rem_prs,ikoraha,ik.or.ˈah.a,auxiliary-form: 1st conditional reciprocal remote (present)
aux_1_con_rec_rem_fut,ikoraho,ik.or.ˈah.o,auxiliary-form: 1st conditional reciprocal remote (future)
aux_1_ctr_sim_pst,iksofe,iks.ˈof.e,auxiliary-form: 1st counterfactual simple (past)
aux_1_ctr_sim_prs,iksofa,iks.ˈof.a,auxiliary-form: 1st counterfactual simple (present)
aux_1_ctr_sim_fut,iksofo,iks.ˈof.o,auxiliary-form: 1st counterfactual simple (future)
aux_1_ctr_ipf_pst,iksothe,iks.ˈoθ.e,auxiliary-form: 1st counterfactual imperfective (past)
aux_1_ctr_ipf_prs,iksotha,iks.ˈoθ.a,auxiliary-form: 1st counterfactual imperfective (present)
aux_1_ctr_ipf_fut,iksotho,iks.ˈoθ.o,auxiliary-form: 1st counterfactual imperfective (future)
aux_1_ctr_prf_pst,iksolhe,iks.ˈoɬ.e,auxiliary-form: 1st counterfactual perfect (past)
aux_1_ctr_prf_prs,iksolha,iks.ˈoɬ.a,auxiliary-form: 1st counterfactual perfect (present)
aux_1_ctr_prf_fut,iksolho,iks.ˈoɬ.o,auxiliary-form: 1st counterfactual perfect (future)
aux_1_ctr_nea_pst,iksotle,iks.ˈoƛ.e,auxiliary-form: 1st counterfactual near (past)
aux_1_ctr_nea_prs,iksotla,iks.ˈoƛ.a,auxiliary-form: 1st counterfactual near (present)
aux_1_ctr_nea_fut,iksotlo,iks.ˈoƛ.o,auxiliary-form: 1st counterfactual near (future)
aux_1_ctr_imm_pst,iksoke,iks.ˈok.e,auxiliary-form: 1st counterfactual immediate (past)
aux_1_ctr_imm_prs,iksoka,iks.ˈok.a,auxiliary-form: 1st counterfactual immediate (present)
aux_1_ctr_imm_fut,iksoko,iks.ˈok.o,auxiliary-form: 1st counterfactual immediate (future)
aux_1_ctr_hab_pst,iksome,iks.ˈom.e,auxiliary-form: 1st counterfactual habitual (past)
aux_1_ctr_hab_prs,iksoma,iks.ˈom.a,auxiliary-form: 1st counterfactual habitual (present)
aux_1_ctr_hab_fut,iksomo,iks.ˈom.o,auxiliary-form: 1st counterfactual habitual (future)
aux_1_ctr_pro_pst,iksose,iks.ˈos.e,auxiliary-form: 1st counterfactual progressive (past)
aux_1_ctr_pro_prs,iksosa,iks.ˈos.a,auxiliary-form: 1st counterfactual progressive (present)
aux_1_ctr_pro_fut,iksoso,iks.ˈos.o,auxiliary-form: 1st counterfactual progressive (future)
aux_1_ctr_cnt_pst,iksoshe,iks.ˈoʃ.e,auxiliary-form: 1st counterfactual continuous (past)
aux_1_ctr_cnt_prs,iksosha,iks.ˈoʃ.a,auxiliary-form: 1st counterfactual continuous (present)
aux_1_ctr_cnt_fut,iksosho,iks.ˈoʃ.o,auxiliary-form: 1st counterfactual continuous (future)
aux_1_ctr_itr_pst,iksone,iks.ˈon.e,auxiliary-form: 1st counterfactual iterative (past)
aux_1_ctr_itr_prs,iksona,iks.ˈon.a,auxiliary-form: 1st counterfactual iterative (present)
aux_1_ctr_itr_fut,iksono,iks.ˈon.o,auxiliary-form: 1st counterfactual iterative (future)
aux_1_ctr_inc_pst,iksoye,iks.ˈoj.e,auxiliary-form: 1st counterfactual inceptive (past)
aux_1_ctr_inc_prs,iksoya,iks.ˈoj.a,auxiliary-form: 1st counterfactual inceptive (present)
aux_1_ctr_inc_fut,iksoyo,iks.ˈoj.o,auxiliary-form: 1st counterfactual inceptive (future)
aux_1_ctr_ces_pst,iksope,iks.ˈop.e,auxiliary-form: 1st counterfactual cessative (past)
aux_1_ctr_ces_prs,iksopa,iks.ˈop.a,auxiliary-form: 1st counterfactual cessative (present)
aux_1_ctr_ces_fut,iksopo,iks.ˈop.o,auxiliary-form: 1st counterfactual cessative (future)
aux_1_ctr_rem_pst,iksohe,iks.ˈoh.e,auxiliary-form: 1st counterfactual remote (past)
aux_1_ctr_rem_prs,iksoha,iks.ˈoh.a,auxiliary-form: 1st counterfactual remote (present)
aux_1_ctr_rem_fut,iksoho,iks.ˈoh.o,auxiliary-form: 1st counterfactual remote (future)
aux_1_ctr_ref_sim_pst,iksotefe,iks.ot.ˈef.e,auxiliary-form: 1st counterfactual reflexive simple (past)
aux_1_ctr_ref_sim_prs,iksotefa,iks.ot.ˈef.a,auxiliary-form: 1st counterfactual reflexive simple (present)
aux_1_ctr_ref_sim_fut,iksotefo,iks.ot.ˈef.o,auxiliary-form: 1st counterfactual reflexive simple (future)
aux_1_ctr_ref_ipf_pst,iksotethe,iks.ot.ˈeθ.e,auxiliary-form: 1st counterfactual reflexive imperfective (past)
aux_1_ctr_ref_ipf_prs,iksotetha,iks.ot.ˈeθ.a,auxiliary-form: 1st counterfactual reflexive imperfective (present)
aux_1_ctr_ref_ipf_fut,iksotetho,iks.ot.ˈeθ.o,auxiliary-form: 1st counterfactual reflexive imperfective (future)
aux_1_ctr_ref_prf_pst,iksotelhe,iks.ot.ˈeɬ.e,auxiliary-form: 1st counterfactual reflexive perfect (past)
aux_1_ctr_ref_prf_prs,iksotelha,iks.ot.ˈeɬ.a,auxiliary-form: 1st counterfactual reflexive perfect (present)
aux_1_ctr_ref_prf_fut,iksotelho,iks.ot.ˈeɬ.o,auxiliary-form: 1st counterfactual reflexive perfect (future)
aux_1_ctr_ref_nea_pst,iksotetle,iks.ot.ˈeƛ.e,auxiliary-form: 1st counterfactual reflexive near (past)
aux_1_ctr_ref_nea_prs,iksotetla,iks.ot.ˈeƛ.a,auxiliary-form: 1st counterfactual reflexive near (present)
aux_1_ctr_ref_nea_fut,iksotetlo,iks.ot.ˈeƛ.o,auxiliary-form: 1st counterfactual reflexive near (future)
aux_1_ctr_ref_imm_pst,iksoteke,iks.ot.ˈek.e,auxiliary-form: 1st counterfactual reflexive immediate (past)
aux_1_ctr_ref_imm_prs,iksoteka,iks.ot.ˈek.a,auxiliary-form: 1st counterfactual reflexive immediate (present)
aux_1_ctr_ref_imm_fut,iksoteko,iks.ot.ˈek.o,auxiliary-form: 1st counterfactual reflexive immediate (future)
aux_1_ctr_ref_hab_pst,iksoteme,iks.ot.ˈem.e,auxiliary-form: 1st counterfactual reflexive habitual (past)
aux_1_ctr_ref_hab_prs,iksotema,iks.ot.ˈem.a,auxiliary-form: 1st counterfactual reflexive habitual (present)
aux_1_ctr_ref_hab_fut,iksotemo,iks.ot.ˈem.o,auxiliary-form: 1st counterfactual reflexive habitual (future)
aux_1_ctr_ref_pro_pst,iksotese,iks.ot.ˈes.e,auxiliary-form: 1st counterfactual reflexive progressive (past)
aux_1_ctr_ref_pro_prs,iksotesa,iks.ot.ˈes.a,auxiliary-form: 1st counterfactual reflexive progressive (present)
aux_1_ctr_ref_pro_fut,iksoteso,iks.ot.ˈes.o,auxiliary-form: 1st counterfactual reflexive progressive (future)
aux_1_ctr_ref_cnt_pst,iksoteshe,iks.ot.ˈeʃ.e,auxiliary-form: 1st counterfactual reflexive continuous (past)
aux_1_ctr_ref_cnt_prs,iksotesha,iks.ot.ˈeʃ.a,auxiliary-form: 1st counterfactual reflexive continuous (present)
aux_1_ctr_ref_cnt_fut,iksotesho,iks.ot.ˈeʃ.o,auxiliary-form: 1st counterfactual reflexive continuous (future)
aux_1_ctr_ref_itr_pst,iksotene,iks.ot.ˈen.e,auxiliary-form: 1st counterfactual reflexive iterative (past)
aux_1_ctr_ref_itr_prs,iksotena,iks.ot.ˈen.a,auxiliary-form: 1st counterfactual reflexive iterative (present)
aux_1_ctr_ref_itr_fut,iksoteno,iks.ot.ˈen.o,auxiliary-form: 1st counterfactual reflexive iterative (future)
aux_1_ctr_ref_inc_pst,iksoteye,iks.ot.ˈej.e,auxiliary-form: 1st counterfactual reflexive inceptive (past)
aux_1_ctr_ref_inc_prs,iksoteya,iks.ot.ˈej.a,auxiliary-form: 1st counterfactual reflexive inceptive (present)
aux_1_ctr_ref_inc_fut,iksoteyo,iks.ot.ˈej.o,auxiliary-form: 1st counterfactual reflexive inceptive (future)
aux_1_ctr_ref_ces_pst,iksotepe,iks.ot.ˈep.e,auxiliary-form: 1st counterfactual reflexive cessative (past)
aux_1_ctr_ref_ces_prs,iksotepa,iks.ot.ˈep.a,auxiliary-form: 1st counterfactual reflexive cessative (present)
aux_1_ctr_ref_ces_fut,iksotepo,iks.ot.ˈep.o,auxiliary-form: 1st counterfactual reflexive cessative (future)
aux_1_ctr_ref_rem_pst,iksotehe,iks.ot.ˈeh.e,auxiliary-form: 1st counterfactual reflexive remote (past)
aux_1_ctr_ref_rem_prs,iksoteha,iks.ot.ˈeh.a,auxiliary-form: 1st counterfactual reflexive remote (present)
aux_1_ctr_ref_rem_fut,iksoteho,iks.ot.ˈeh.o,auxiliary-form: 1st counterfactual reflexive remote (future)
aux_1_ctr_pas_sim_pst,iksopafe,iks.op.ˈaf.e,auxiliary-form: 1st counterfactual passive simple (past)
aux_1_ctr_pas_sim_prs,iksopafa,iks.op.ˈaf.a,auxiliary-form: 1st counterfactual passive simple (present)
aux_1_ctr_pas_sim_fut,iksopafo,iks.op.ˈaf.o,auxiliary-form: 1st counterfactual passive simple (future)
aux_1_ctr_pas_ipf_pst,iksopathe,iks.op.ˈaθ.e,auxiliary-form: 1st counterfactual passive imperfective (past)
aux_1_ctr_pas_ipf_prs,iksopatha,iks.op.ˈaθ.a,auxiliary-form: 1st counterfactual passive imperfective (present)
aux_1_ctr_pas_ipf_fut,iksopatho,iks.op.ˈaθ.o,auxiliary-form: 1st counterfactual passive imperfective (future)
aux_1_ctr_pas_prf_pst,iksopalhe,iks.op.ˈaɬ.e,auxiliary-form: 1st counterfactual passive perfect (past)
aux_1_ctr_pas_prf_prs,iksopalha,iks.op.ˈaɬ.a,auxiliary-form: 1st counterfactual passive perfect (present)
aux_1_ctr_pas_prf_fut,iksopalho,iks.op.ˈaɬ.o,auxiliary-form: 1st counterfactual passive perfect (future)
aux_1_ctr_pas_nea_pst,iksopatle,iks.op.ˈaƛ.e,auxiliary-form: 1st counterfactual passive near (past)
aux_1_ctr_pas_nea_prs,iksopatla,iks.op.ˈaƛ.a,auxiliary-form: 1st counterfactual passive near (present)
aux_1_ctr_pas_nea_fut,iksopatlo,iks.op.ˈaƛ.o,auxiliary-form: 1st counterfactual passive near (future)
aux_1_ctr_pas_imm_pst,iksopake,iks.op.ˈak.e,auxiliary-form: 1st counterfactual passive immediate (past)
aux_1_ctr_pas_imm_prs,iksopaka,iks.op.ˈak.a,auxiliary-form: 1st counterfactual passive immediate (present)
aux_1_ctr_pas_imm_fut,iksopako,iks.op.ˈak.o,auxiliary-form: 1st counterfactual passive immediate (future)
aux_1_ctr_pas_hab_pst,iksopame,iks.op.ˈam.e,auxiliary-form: 1st counterfactual passive habitual (past)
aux_1_ctr_pas_hab_prs,iksopama,iks.op.ˈam.a,auxiliary-form: 1st counterfactual passive habitual (present)
aux_1_ctr_pas_hab_fut,iksopamo,iks.op.ˈam.o,auxiliary-form: 1st counterfactual passive habitual (future)
aux_1_ctr_pas_pro_pst,iksopase,iks.op.ˈas.e,auxiliary-form: 1st counterfactual passive progressive (past)
aux_1_ctr_pas_pro_prs,iksopasa,iks.op.ˈas.a,auxiliary-form: 1st counterfactual passive progressive (present)
aux_1_ctr_pas_pro_fut,iksopaso,iks.op.ˈas.o,auxiliary-form: 1st counterfactual passive progressive (future)
aux_1_ctr_pas_cnt_pst,iksopashe,iks.op.ˈaʃ.e,auxiliary-form: 1st counterfactual passive continuous (past)
aux_1_ctr_pas_cnt_prs,iksopasha,iks.op.ˈaʃ.a,auxiliary-form: 1st counterfactual passive continuous (present)
aux_1_ctr_pas_cnt_fut,iksopasho,iks.op.ˈaʃ.o,auxiliary-form: 1st counterfactual passive continuous (future)
aux_1_ctr_pas_itr_pst,iksopane,iks.op.ˈan.e,auxiliary-form: 1st counterfactual passive iterative (past)
aux_1_ctr_pas_itr_prs,iksopana,iks.op.ˈan.a,auxiliary-form: 1st counterfactual passive iterative (present)
aux_1_ctr_pas_itr_fut,iksopano,iks.op.ˈan.o,auxiliary-form: 1st counterfactual passive iterative (future)
aux_1_ctr_pas_inc_pst,iksopaye,iks.op.ˈaj.e,auxiliary-form: 1st counterfactual passive inceptive (past)
aux_1_ctr_pas_inc_prs,iksopaya,iks.op.ˈaj.a,auxiliary-form: 1st counterfactual passive inceptive (present)
aux_1_ctr_pas_inc_fut,iksopayo,iks.op.ˈaj.o,auxiliary-form: 1st counterfactual passive inceptive (future)
aux_1_ctr_pas_ces_pst,iksopape,iks.op.ˈap.e,auxiliary-form: 1st counterfactual passive cessative (past)
aux_1_ctr_pas_ces_prs,iksopapa,iks.op.ˈap.a,auxiliary-form: 1st counterfactual passive cessative (present)
aux_1_ctr_pas_ces_fut,iksopapo,iks.op.ˈap.o,auxiliary-form: 1st counterfactual passive cessative (future)
aux_1_ctr_pas_rem_pst,iksopahe,iks.op.ˈah.e,auxiliary-form: 1st counterfactual passive remote (past)
aux_1_ctr_pas_rem_prs,iksopaha,iks.op.ˈah.a,auxiliary-form: 1st counterfactual passive remote (present)
aux_1_ctr_pas_rem_fut,iksopaho,iks.op.ˈah.o,auxiliary-form: 1st counterfactual passive remote (future)
aux_1_ctr_mid_sim_pst,iksomofe,iks.om.ˈof.e,auxiliary-form: 1st counterfactual middle simple (past)
aux_1_ctr_mid_sim_prs,iksomofa,iks.om.ˈof.a,auxiliary-form: 1st counterfactual middle simple (present)
aux_1_ctr_mid_sim_fut,iksomofo,iks.om.ˈof.o,auxiliary-form: 1st counterfactual middle simple (future)
aux_1_ctr_mid_ipf_pst,iksomothe,iks.om.ˈoθ.e,auxiliary-form: 1st counterfactual middle imperfective (past)
aux_1_ctr_mid_ipf_prs,iksomotha,iks.om.ˈoθ.a,auxiliary-form: 1st counterfactual middle imperfective (present)
aux_1_ctr_mid_ipf_fut,iksomotho,iks.om.ˈoθ.o,auxiliary-form: 1st counterfactual middle imperfective (future)
aux_1_ctr_mid_prf_pst,iksomolhe,iks.om.ˈoɬ.e,auxiliary-form: 1st counterfactual middle perfect (past)
aux_1_ctr_mid_prf_prs,iksomolha,iks.om.ˈoɬ.a,auxiliary-form: 1st counterfactual middle perfect (present)
aux_1_ctr_mid_prf_fut,iksomolho,iks.om.ˈoɬ.o,auxiliary-form: 1st counterfactual middle perfect (future)
aux_1_ctr_mid_nea_pst,iksomotle,iks.om.ˈoƛ.e,auxiliary-form: 1st counterfactual middle near (past)
aux_1_ctr_mid_nea_prs,iksomotla,iks.om.ˈoƛ.a,auxiliary-form: 1st counterfactual middle near (present)
aux_1_ctr_mid_nea_fut,iksomotlo,iks.om.ˈoƛ.o,auxiliary-form: 1st counterfactual middle near (future)
aux_1_ctr_mid_imm_pst,iksomoke,iks.om.ˈok.e,auxiliary-form: 1st counterfactual middle immediate (past)
aux_1_ctr_mid_imm_prs,iksomoka,iks.om.ˈok.a,auxiliary-form: 1st counterfactual middle immediate (present)
aux_1_ctr_mid_imm_fut,iksomoko,iks.om.ˈok.o,auxiliary-form: 1st counterfactual middle immediate (future)
aux_1_ctr_mid_hab_pst,iksomome,iks.om.ˈom.e,auxiliary-form: 1st counterfactual middle habitual (past)
aux_1_ctr_mid_hab_prs,iksomoma,iks.om.ˈom.a,auxiliary-form: 1st counterfactual middle habitual (present)
aux_1_ctr_mid_hab_fut,iksomomo,iks.om.ˈom.o,auxiliary-form: 1st counterfactual middle habitual (future)
aux_1_ctr_mid_pro_pst,iksomose,iks.om.ˈos.e,auxiliary-form: 1st counterfactual middle progressive (past)
aux_1_ctr_mid_pro_prs,iksomosa,iks.om.ˈos.a,auxiliary-form: 1st counterfactual middle progressive (present)
aux_1_ctr_mid_pro_fut,iksomoso,iks.om.ˈos.o,auxiliary-form: 1st counterfactual middle progressive (future)
aux_1_ctr_mid_cnt_pst,iksomoshe,iks.om.ˈoʃ.e,auxiliary-form: 1st counterfactual middle continuous (past)
aux_1_ctr_mid_cnt_prs,iksomosha,iks.om.ˈoʃ.a,auxiliary-form: 1st counterfactual middle continuous (present)
aux_1_ctr_mid_cnt_fut,iksomosho,iks.om.ˈoʃ.o,auxiliary-form: 1st counterfactual middle continuous (future)
aux_1_ctr_mid_itr_pst,iksomone,iks.om.ˈon.e,auxiliary-form: 1st counterfactual middle iterative (past)
aux_1_ctr_mid_itr_prs,iksomona,iks.om.ˈon.a,auxiliary-form: 1st counterfactual middle iterative (present)
aux_1_ctr_mid_itr_fut,iksomono,iks.om.ˈon.o,auxiliary-form: 1st counterfactual middle iterative (future)
aux_1_ctr_mid_inc_pst,iksomoye,iks.om.ˈoj.e,auxiliary-form: 1st counterfactual middle inceptive (past)
aux_1_ctr_mid_inc_prs,iksomoya,iks.om.ˈoj.a,auxiliary-form: 1st counterfactual middle inceptive (present)
aux_1_ctr_mid_inc_fut,iksomoyo,iks.om.ˈoj.o,auxiliary-form: 1st counterfactual middle inceptive (future)
aux_1_ctr_mid_ces_pst,iksomope,iks.om.ˈop.e,auxiliary-form: 1st counterfactual middle cessative (past)
aux_1_ctr_mid_ces_prs,iksomopa,iks.om.ˈop.a,auxiliary-form: 1st counterfactual middle cessative (present)
aux_1_ctr_mid_ces_fut,iksomopo,iks.om.ˈop.o,auxiliary-form: 1st counterfactual middle cessative (future)
aux_1_ctr_mid_rem_pst,iksomohe,iks.om.ˈoh.e,auxiliary-form: 1st counterfactual middle remote (past)
aux_1_ctr_mid_rem_prs,iksomoha,iks.om.ˈoh.a,auxiliary-form: 1st counterfactual middle remote (present)
aux_1_ctr_mid_rem_fut,iksomoho,iks.om.ˈoh.o,auxiliary-form: 1st counterfactual middle remote (future)
aux_1_ctr_cau_sim_pst,iksokefe,iks.ok.ˈef.e,auxiliary-form: 1st counterfactual causative simple (past)
aux_1_ctr_cau_sim_prs,iksokefa,iks.ok.ˈef.a,auxiliary-form: 1st counterfactual causative simple (present)
aux_1_ctr_cau_sim_fut,iksokefo,iks.ok.ˈef.o,auxiliary-form: 1st counterfactual causative simple (future)
aux_1_ctr_cau_ipf_pst,iksokethe,iks.ok.ˈeθ.e,auxiliary-form: 1st counterfactual causative imperfective (past)
aux_1_ctr_cau_ipf_prs,iksoketha,iks.ok.ˈeθ.a,auxiliary-form: 1st counterfactual causative imperfective (present)
aux_1_ctr_cau_ipf_fut,iksoketho,iks.ok.ˈeθ.o,auxiliary-form: 1st counterfactual causative imperfective (future)
aux_1_ctr_cau_prf_pst,iksokelhe,iks.ok.ˈeɬ.e,auxiliary-form: 1st counterfactual causative perfect (past)
aux_1_ctr_cau_prf_prs,iksokelha,iks.ok.ˈeɬ.a,auxiliary-form: 1st counterfactual causative perfect (present)
aux_1_ctr_cau_prf_fut,iksokelho,iks.ok.ˈeɬ.o,auxiliary-form: 1st counterfactual causative perfect (future)
aux_1_ctr_cau_nea_pst,iksoketle,iks.ok.ˈeƛ.e,auxiliary-form: 1st counterfactual causative near (past)
