English,Tovian,IPA,Roots
October 1,leshol, / lˈeʃ.ol / ,harvest + fruit

October 10,nanathan, / nan.ˈaθ.an / ,star + tool

October 11,ysanin, / jsˈan.in / ,moon + berry

October 12,kelumral, / kel.ˈumr.al / ,branch + darkness

October 13,shithol, / ʃˈiθ.ol / ,sharpness + sweet

October 14,munorhanashol, / mun.orħ.an.ˈaʃ.ol / ,dusk + fruit

October 15,???, / ??? / ,???

October 16,for, / fˈor / ,sun + action

October 17,lenan, / lˈen.an / ,hoe + covering

October 18,mloanashith, / mlo.an.ˈaʃ.iθ / ,morning + sharpness

October 19,varethan, / var.ˈeθ.an / ,value + tool

October 2,klumloreloresyaleth, / kluml.or.el.or.esj.ˈal.eθ / ,vine + grain

October 20,harathan, / ħar.ˈaθ.an / ,pain + tool

October 21,lethiledrem, / leθ.il.ˈedr.em / ,forest + flower

October 22,lhenaysol, / ɬen.ˈajs.ol / ,dream + moon + fruit

October 23,thamlor, / θˈaml.or / ,tool + plant

October 24,meloresyalethavar, / mel.or.esj.al.eθ.ˈav.ar / ,grain + value

October 25,shotlesh, / ʃˈoƛ.eʃ / ,river + sound

October 26,haraon, / ħar.ˈa.on / ,pain + mouth

October 27,lethilekel, / leθ.il.ˈek.el / ,forest + branch

October 28,mlor, / mlˈor / ,sun + plant

October 29,glareshol, / glar.ˈeʃ.ol / ,tree + fruit

October 3,???, / ??? / ,???

October 30,leshor, / lˈeʃ.or / ,harvest + action

October 4,lhilaloresyaleth, / ɬil.al.or.esj.ˈal.eθ / ,night + grain

October 5,shotlan, / ʃˈoƛ.an / ,river + light

October 6,ysnal, / jsnˈal / ,moon + sharing

October 7,hol, / ħˈol / ,sweet + ???

October 8,lhenadrem, / ɬen.ˈadr.em / ,dream + flower

October 9,mralaglar, / mral.ˈagl.ar / ,darkness + tree

October,loerlesh, / lo.ˈerl.eʃ / ,two + harvest

old,nan, / nˈan / ,_

one hundred forty four,lhyalh, / ɬjˈaɬ / ,twelve + twelve

one,lo, / lˈo / ,_

openness,dam, / dˈam / ,not + closure

opposite,do, / dˈo / ,_

overwhelming,ngam, / ŋˈam / ,_

pain,har, / ħˈar / ,_

painting,for, / fˈor / ,showing + action

past,hune, / ħˈun.e / ,behind + path

path,num, / nˈum / ,_

peace,tla, / ƛˈa / ,_

peacefulness,tla, / ƛˈa / ,_

permanent,tod, / tˈod / ,_

person hair,amal, / ˈam.al / ,_

person skin,trel, / trˈel / ,_

person,yel, / jˈel / ,_

place,thil, / θˈil / ,_

placing,man, / mˈan / ,_

plain,til, / tˈil / ,flatness + place

plant,melor, / mˈel.or / ,life + action

pondering,nalh, / nˈaɬ / ,_

possession,el, / ˈel / ,_

possibility,sho, / ʃˈo / ,_

present,led, / lˈed / ,action + showing

present,nume, / nˈum.e / ,path + center

protection,munan, / mˈun.an / ,_

proximity,sor, / sˈor / ,_

putting,man, / mˈan / ,_

reaching,kith, / kˈiθ / ,_

rebirth,mloelhan, / mlo.ˈeɬ.an / ,second + birth

red,lhod, / ɬˈod / ,_

redness,lhod, / ɬˈod / ,_

report,yeolfethr, / je.ˈolf.eθr / ,truth + speech

returning,gith, / gˈiθ / ,not + arriving

right,lhya, / ɬjˈa / ,_

river,shotl, / ʃˈoƛ / ,flow + water

rock,men, / mˈen / ,_

root,tom, / tˈom / ,_

running,sethr, / sˈeθr / ,_

rushing,sethr, / sˈeθr / ,_

sad,lur, / lˈur / ,_

sand,shotl, / ʃˈoƛ / ,flow + ground

scales,anad, / ˈan.ad / ,_

sea,nor, / nˈor / ,_

season,rithagom, / riθ.ˈag.om / ,air + cycle

second,mloe, / mlˈo.e / ,ESS + two

seeing,mril, / mrˈil / ,_

September 1,keluloresyaleth, / kel.ul.or.esj.ˈal.eθ / ,branch + grain

September 10,nanathuv, / nan.ˈaθ.uv / ,star + sword

September 11,???, / ??? / ,???

September 12,thilethan, / θil.ˈeθ.an / ,place + tool

September 13,shithan, / ʃˈiθ.an / ,sharpness + tool

September 14,tlurinin, / ƛur.ˈin.in / ,mist + ???

September 15,???, / ??? / ,???

September 16,rithol, / rˈiθ.ol / ,air + sweet

September 17,sholalhum, / ʃol.ˈaɬ.um / ,fruit + goodness

September 18,sholaglar, / ʃol.ˈagl.ar / ,fruit + tree

September 19,lshanin, / lʃˈan.in / ,sun + berry

September 2,ysoresyaleth, / jsor.esj.ˈal.eθ / ,moon + grain

September 20,tilethil, / til.ˈeθ.il / ,plain + place

September 21,riskel, / rˈisk.el / ,air + branch

September 22,mraltlun, / mrˈalƛ.un / ,darkness + joining

September 23,kelushol, / kel.ˈuʃ.ol / ,branch + fruit

September 24,mloanamen, / mlo.an.ˈam.en / ,morning + earth

September 25,???, / ??? / ,???

September 26,melorelor, / mel.or.ˈel.or / ,plant + plant

September 27,thullhen, / θˈulɬ.en / ,top + dream

September 28,???, / ??? / ,???

September 29,vareloresyaleth, / var.el.or.esj.ˈal.eθ / ,value + grain

September 3,mralaysm, / mrˈal.ajsm / ,darkness + moon + bloom

September 30,rithtesh, / rˈiθt.eʃ / ,air + sound

September 4,???, / ??? / ,???

September 5,nanamen, / nan.ˈam.en / ,star + earth

September 6,mar, / mˈar / ,sun + mother

September 7,ay, / ˈaj / ,moon + ???

September 8,munorhanapal, / mun.orħ.an.ˈap.al / ,dusk + stopping

September 9,lhenashith, / ɬen.ˈaʃ.iθ / ,dream + sharpness

September,lorlesh, / lˈorl.eʃ / ,one + harvest

seven,pol, / pˈol / ,_

shadow,lan, / lˈan / ,darkness + light

shallows,sul, / sˈul / ,_

sharing,nal, / nˈal / ,joining + possession

sharpness,shith, / ʃˈiθ / ,_

she,ta, / tˈa / ,_

shelter,munan, / mˈun.an / ,_

shine,nalor, / nˈal.or / ,light + action

ship,sith, / sˈiθ / ,water + traveling

shortness,sul, / sˈul / ,_

showing,fed, / fˈed / ,_

shutting,tam, / tˈam / ,_

sight,mril, / mrˈil / ,_

silver,menan, / mˈen.an / ,metal + light

six,tem, / tˈem / ,_

sixteen,lhyatev, / ɬjˈat.ev / ,twelve + four

skin,anad, / ˈan.ad / ,_

sky,rithil, / rˈiθ.il / ,air + place

sleep,lheth, / ɬˈeθ / ,_

small,nin, / nˈin / ,_

smell,rithor, / rˈiθ.or / ,air + action

smile,maon, / mˈa.on / ,happy + mouth

smoothness,lheth, / ɬˈeθ / ,_

softness,lheth, / ɬˈeθ / ,_

soul,lhen, / ɬˈen / ,_

sound,tesh, / tˈeʃ / ,_

south,rar, / rˈar / ,_

speaking,fethr, / fˈeθr / ,showing + thought

speech,fethr, / fˈeθr / ,_

speed,tlesh, / ƛˈeʃ / ,_

spirit,lhen, / ɬˈen / ,_

spring vegetable,ledul, / lˈed.ul / ,plant + first

Spring,mlhelor, / mɬˈel.or / ,present + plant

star,nan, / nˈan / ,small + light

starting,lon, / lˈon / ,_

stickiness,ing, / ˈiŋ / ,_

stomach,lor, / lˈor / ,_

stone,men, / mˈen / ,_

stopping,pal, / pˈal / ,_

storm,lrith, / lrˈiθ / ,wind + water

strength,lha, / ɬˈa / ,_

Summer,mlheag, / mɬˈe.ag / ,present + heat

sun,ef, / ˈef / ,_

sunset,munorhan, / mun.ˈorħ.an / ,last + light

surpassing,ngam, / ŋˈam / ,_

sweet,hol, / ħˈol / ,GEN + fruit

sword,thuv, / θˈuv / ,tool + PUR + killing

tar,tlun, / ƛˈun / ,stickiness + joining

tasting,leth, / lˈeθ / ,_

teaching,lhad, / ɬˈad / ,knowledge + showing

ten,tir, / tˈir / ,_

them (inanimate),lode, / lˈod.e / ,_

them,ta, / tˈa / ,_

they (plural),te, / tˈe / ,_

thickness,lhul, / ɬˈul / ,_

thing,l, / l / ,_

thinking,nalh, / nˈaɬ / ,_

thirteen,lhyal, / ɬjˈal / ,twelve + one

thirty six,femlh, / fˈemɬ / ,three + twelve

thirty,loelhyatem, / lo.eɬj.ˈat.em / ,twenty four + six

thought,ithr, / ˈiθr / ,_

three,fem, / fˈem / ,_

throwing,ysha, / jʃˈa / ,_

thunder,lrithesh, / lrˈiθ.eʃ / ,storm + sound

tie,nalor, / nˈal.or / ,joining + action

time,ngothr, / ŋˈoθr / ,_

tool,than, / θˈan / ,_

tooth,gang, / gˈaŋ / ,_

top,thul, / θˈul / ,_

town,pel, / pˈel / ,_

trance,lheth, / ɬˈeθ / ,_

traveling,kith, / kˈiθ / ,_

tree,glar, / glˈar / ,_

trunk,adlel, / ˈadl.el / ,_

truth,yeol, / jˈe.ol / ,_

twelve,lhya, / ɬjˈa / ,_

twenty five,loelhyal, / lo.ˈeɬj.al / ,twenty four + one

twenty four,loelh, / lˈo.eɬ / ,two + twelve

twenty six,loelhyalo, / lo.eɬj.ˈal.o / ,twenty four + two

twenty,lhyath, / ɬjˈaθ / ,twelve + eight

twilight,lan, / lˈan / ,darkness + light

two,loe, / lˈo.e / ,_

un-,do, / dˈo / ,_

undershine,hi-sulan, / ħi.sˈul.an / ,GEN + bottom + light

underside,thok, / θˈok / ,_

unknown,shim, / ʃˈim / ,_

up,ther, / θˈer / ,_

us,ne, / nˈe / ,_

value,var, / vˈar / ,_

vessel,lhom, / ɬˈom / ,_

village,pel, / pˈel / ,_

vine,klumlor, / klˈuml.or / ,arm + plant

virtue,lhum, / ɬˈum / ,_

wakefulness,shith, / ʃˈiθ / ,_

waking dreambringer,anshish, / ˈanʃ.iʃ / ,dream + COM + alertness

walking,nolh, / nˈoɬ / ,_

warmth,ag, / ˈag / ,_

washing,sor, / sˈor / ,water + action

watching,mril, / mrˈil / ,_

water,sel, / sˈel / ,_

we,ne, / nˈe / ,_

week,tirlhom, / tˈirɬ.om / ,ten + day

weight,tlem, / ƛˈem / ,_

west,fil, / fˈil / ,_

what,lhan, / ɬˈan / ,_

when,lhan, / ɬˈan / ,_

where,lhan, / ɬˈan / ,_

who,lhan, / ɬˈan / ,_

wholeness,om, / ˈom / ,_

why,lhan, / ɬˈan / ,_

wickedness,yal, / jˈal / ,_

width,shad, / ʃˈad / ,_

wind,lrith, / lrˈiθ / ,movement + COM + air

Winter,mlhetush, / mɬˈet.uʃ / ,present + cold

wisdom,yeol, / jˈe.ol / ,_

wondering,thraf, / θrˈaf / ,_

woods,glar, / glˈar / ,_

writing,for, / fˈor / ,showing + action

year,nalom, / nˈal.om / ,small + cycle

you (plural),we, / wˈe / ,_

you,wa, / wˈa / ,_

young,don, / dˈon / ,not + old

???,???, / ??? / ,_

ABL,di-, / dˈi / ,_

ablative case marker,di-, / dˈi / ,_

abstract noun class,le-, / lˈe / ,_

ACC,yu-, / jˈu / ,_

accusative case marker,yu-, / jˈu / ,_

ALL,su-, / sˈu / ,_

allative case marker,su-, / sˈu / ,_

animate noun class,la-, / lˈa / ,_

away from,di-, / dˈi / ,_

CAUS,ke-, / kˈe / ,_

causative voice marker,ke-, / kˈe / ,_

COM,yi-, / jˈi / ,_

comitative case marker,yi-, / jˈi / ,_

COND,ko-, / kˈo / ,_

conditional mood marker,ko-, / kˈo / ,_

COUNTER,ks-o, / ˈo / ,_

counterfactual mood marker,ks-o, / ˈo / ,_

DAT,mi-, / mˈi / ,_

dative case marker,mi-, / mˈi / ,_

ESS,pu-, / pˈu / ,_

essive case marker,pu-, / pˈu / ,_

for,lhu-, / ɬˈu / ,_

GEN,hi-, / hˈi / ,_

genitive case marker,hi-, / hˈi / ,_

IMP,se-, / sˈe / ,_

imperative mood marker,se-, / sˈe / ,_

inanimate noun class,lo-, / lˈo / ,_

INS,si-, / sˈi / ,_

instrumental case marker,si-, / sˈi / ,_

LOC,ti-, / tˈi / ,_

locative case marker,ti-, / tˈi / ,_

MID,mo-, / mˈo / ,_

middle voice marker,mo-, / mˈo / ,_

NOM,i-, / ˈi / ,_

nomative case marker,i-, / ˈi / ,_

OBL,tl0-, / ƛ0- / ,_

obligative mood marker,tl0-, / ƛ0- / ,_

OPT,lhe-, / ɬˈe / ,_

optative mood marker,lhe-, / ɬˈe / ,_

PASS,pa-, / pˈa / ,_

passive voice marker,pa-, / pˈa / ,_

plural marker,-e, / ˈe / ,_

POT,sho-, / ʃˈo / ,_

potential mood marker,sho-, / ʃˈo / ,_

PUR,lhu-, / ɬˈu / ,_

purpose case marker,lhu-, / ɬˈu / ,_

REC,ra-, / rˈa / ,_

reciprocal voice marker,ra-, / rˈa / ,_

REFL,te-, / tˈe / ,_

reflexive voice marker,te-, / tˈe / ,_

SUB,wi-, / wˈi / ,_

subjunctive mood marker,wi-, / wˈi / ,_

TEMP,tu-, / tˈu / ,_

temporal case marker,tu-, / tˈu / ,_

together with,yi-, / jˈi / ,_

with,yi-, / jˈi / ,_

1 of autumn,keluloresyaleth, / kel.ul.or.esj.ˈal.eθ / ,branch + grain

1 of spring,ysklumlor, / jsklˈuml.or / ,moon + vine

1 of summer,mloanam, / mlo.ˈan.am / ,morning + bloom

1 of winter,lrithdrem, / lrˈiθdr.em / ,breath + flower

1,lo, / lˈo / ,_

10 of autumn,nanathuv, / nan.ˈaθ.uv / ,star + sword

10 of spring,todawen, / tod.ˈaw.en / ,eternal + beauty

10 of summer,yethilemnan, / jeθ.il.ˈemn.an / ,home + protection

10 of winter,lriskwil, / lrˈiskw.il / ,breath + movement

10,tir, / tˈir / ,_

11 of autumn,???, / ??? / ,???

11 of spring,mralm, / mrˈalm / ,darkness + bloom

11 of summer,thuvglar, / θˈuvgl.ar / ,sword + woods

11 of winter,fedrlad, / fˈedrl.ad / ,showing + jealousy

11,myar, / mjˈar / ,_

12 of autumn,thilethan, / θil.ˈeθ.an / ,place + tool

12 of spring,mloelhanalor, / mlo.eɬ.an.ˈal.or / ,rebirth + plant

12 of summer,nador, / nˈad.or / ,light + blue

12 of winter,rithaglar, / riθ.ˈagl.ar / ,air + tree

12,lhya, / ɬjˈa / ,_

13 of autumn,shithan, / ʃˈiθ.an / ,sharpness + tool

13 of spring,tushudol, / tuʃ.ˈud.ol / ,cold + fruit

13 of summer,mralsyaleth, / mralsj.ˈal.eθ / ,darkness + food

13 of winter,shotlan, / ʃˈoƛ.an / ,flowing + tool

13,lhyal, / ɬjˈal / ,twelve + one

14 of autumn,tlurinin, / ƛur.ˈin.in / ,mist + ???

14 of spring,menan, / mˈen.an / ,silver + ???

14 of summer,lriskwil, / lrˈiskw.il / ,wind + movement

14 of winter,fedetush, / fed.ˈet.uʃ / ,showing + cold

14,lhyalo, / ɬjˈal.o / ,twelve + two

144,lhyalh, / ɬjˈaɬ / ,twelve + twelve

15 of autumn,???, / ??? / ,???

15 of spring,rithilekel, / riθ.il.ˈek.el / ,sky + branch

15 of summer,forengothr, / for.ˈeŋ.oθr / ,writing + time

15 of winter,lrithen, / lrˈiθ.en / ,breath + dream

15,lhyam, / ɬjˈam / ,twelve + three

16 of autumn,rithol, / rˈiθ.ol / ,air + sweet

16 of spring,mrawen, / mrˈaw.en / ,darkness + beauty

16 of summer,semlor, / sˈeml.or / ,water + plant

16 of winter,loreayeol, / lor.e.aj.ˈe.ol / ,dance + wisdom

16,lhyatev, / ɬjˈat.ev / ,twelve + four

17 of autumn,sholalhum, / ʃol.ˈaɬ.um / ,fruit + goodness

17 of spring,tlafor, / ƛˈaf.or / ,peace + plant

17 of summer,gaglar, / gˈagl.ar / ,warmth + tree

17 of winter,lanam, / lˈan.am / ,twilight + bloom

18 of autumn,sholaglar, / ʃol.ˈagl.ar / ,fruit + tree

18 of spring,nanamel, / nan.ˈam.el / ,star + life

18 of summer,mrallhenadrem, / mralɬ.en.ˈadr.em / ,darkness + dream + flower

18 of winter,nanalor, / nan.ˈal.or / ,star + plant

19 of autumn,lshanin, / lʃˈan.in / ,sun + berry

19 of spring,efem, / ˈef.em / ,sun + flower

19 of summer,tomomen, / tom.ˈom.en / ,root + earth

19 of winter,ayswen, / ˈajsw.en / ,moon + beauty

2 of autumn,ysoresyaleth, / jsor.esj.ˈal.eθ / ,moon + grain

2 of spring,efith, / ˈef.iθ / ,sun + sharpness

2 of summer,rithileaglar, / riθ.il.e.ˈagl.ar / ,sky + tree

2 of winter,dolshanin, / dolʃ.ˈan.in / ,death + berry

2,loe, / lˈo.e / ,_

20 of autumn,tilethil, / til.ˈeθ.il / ,plain + place

20 of spring,nanashith, / nan.ˈaʃ.iθ / ,star + sharpness

20 of summer,holadyethil, / ħol.adj.ˈeθ.il / ,sweet + home

20 of winter,lrithun, / lrˈiθ.un / ,breath + joining

20 of winter,shush, / ʃˈuʃ / ,ice + ???

20,lhyath, / ɬjˈaθ / ,twelve + eight

21 of autumn,riskel, / rˈisk.el / ,air + branch

21 of spring,dremlor, / drˈeml.or / ,flower + plant

21 of summer,meloremnan, / mel.or.ˈemn.an / ,plant + protection

21 of winter,lhilaglar, / ɬil.ˈagl.ar / ,night + tree

22 of autumn,mraltlun, / mrˈalƛ.un / ,darkness + joining

22 of spring,rithiledrem, / riθ.il.ˈedr.em / ,sky + flower

22 of summer,shotlathang, / ʃoƛ.ˈaθ.aŋ / ,flowing + leaf

22 of winter,lan, / lˈan / ,twilight + ???

23 of autumn,kelushol, / kel.ˈuʃ.ol / ,branch + fruit

23 of spring,shasith, / ʃˈas.iθ / ,ice + ship

23 of summer,melaglar, / mel.ˈagl.ar / ,life + tree

23 of winter,lanasyaleth, / lan.asj.ˈal.eθ / ,twilight + food

24 of autumn,mloanamen, / mlo.an.ˈam.en / ,morning + earth

24 of spring,nanadrem, / nan.ˈadr.em / ,star + flower

24 of summer,tleshor, / ƛˈeʃ.or / ,speed + plant

24 of winter,lhonrem, / ɬˈonr.em / ,day + flower

24,loelh, / lˈo.eɬ / ,two + twelve

25 of autumn,???, / ??? / ,???

25 of spring,lrithan, / lrˈiθ.an / ,storm + animal

25 of summer,rithileay, / riθ.il.ˈe.aj / ,sky + feather

25 of winter,nan, / nˈan / ,star + ???

25,loelhyal, / lo.ˈeɬj.al / ,twenty four + one

26 of autumn,melorelor, / mel.or.ˈel.or / ,plant + plant

26 of spring,mramlorelhen, / mraml.or.ˈeɬ.en / ,darkness + plant + dream

26 of summer,dolithor, / dol.ˈiθ.or / ,death + smell

26 of winter,shotlodrem, / ʃoƛ.ˈodr.em / ,flowing + flower

26,loelhyalo, / lo.eɬj.ˈal.o / ,twenty four + two

27 of autumn,thullhen, / θˈulɬ.en / ,top + dream

27 of spring,gadrem, / gˈadr.em / ,hotness + flower

27 of summer,lrithdrem, / lrˈiθdr.em / ,wind + flower

27 of winter,doraklrith, / dor.ˈaklr.iθ / ,blue + breath

28 of autumn,???, / ??? / ,???

28 of spring,lshol, / lʃˈol / ,sun + fruit

28 of summer,ithrem, / ˈiθr.em / ,thought + flower

28 of winter,klumloremlan, / kluml.or.ˈeml.an / ,vine + twilight

29 of autumn,vareloresyaleth, / var.el.or.esj.ˈal.eθ / ,value + grain

29 of spring,nanaloresyaleth, / nan.al.or.esj.ˈal.eθ / ,star + grain

29 of summer,mralshol, / mrˈalʃ.ol / ,darkness + fruit

29 of winter,ayskesh, / ˈajsk.eʃ / ,moon + fire

3 of autumn,mralaysm, / mrˈal.ajsm / ,darkness + moon + bloom

3 of spring,thanshol, / θˈanʃ.ol / ,tool + fruit

3 of summer,aysan, / ˈajs.an / ,moon + tool

3 of winter,???, / ??? / ,???

3,fem, / fˈem / ,_

30 of autumn,rithtesh, / rˈiθt.eʃ / ,air + sound

30 of spring,shimilhom, / ʃim.ˈiɬ.om / ,mystery + container

30 of summer,melor, / mˈel.or / ,plant + ???

30 of winter,lrith, / lrˈiθ / ,breath + ???

30,loelhyatem, / lo.eɬj.ˈat.em / ,twenty four + six

31 of autumn,leshol, / lˈeʃ.ol / ,harvest + fruit

31 of spring,rithileshol, / riθ.il.ˈeʃ.ol / ,sky + fruit

31 of summer,lhenananaloresyaleth, / ɬen.an.an.al.or.esj.ˈal.eθ / ,dream + star + grain

31 of winter,???, / ??? / ,???

32 of autumn,klumloreloresyaleth, / kluml.or.el.or.esj.ˈal.eθ / ,vine + grain

32 of spring,aysith, / ˈajs.iθ / ,moon + sharpness

32 of summer,yeomlor, / je.ˈoml.or / ,wisdom + plant

32 of winter,tushuthok, / tuʃ.ˈuθ.ok / ,cold + ground

33 of autumn,???, / ??? / ,???

33 of spring,lrithwen, / lrˈiθw.en / ,storm + beauty

33 of summer,llhenashol, / lɬen.ˈaʃ.ol / ,sun + dream + fruit

33 of winter,mralrem, / mrˈalr.em / ,darkness + flower

34 of autumn,lhilaloresyaleth, / ɬil.al.or.esj.ˈal.eθ / ,night + grain

34 of spring,dlelaglar, / dlel.ˈagl.ar / ,body + tree

34 of summer,melorethanglar, / mel.or.eθ.ˈaŋl.ar / ,plant + tool + woods

34 of winter,shashanin, / ʃaʃ.ˈan.in / ,ice + berry

35 of autumn,shotlan, / ʃˈoƛ.an / ,river + light

35 of spring,lrithay, / lrˈiθ.aj / ,storm + feather

35 of summer,lhomtlan, / ɬˈomƛ.an / ,day + animal

35 of winter,selshith, / sˈelʃ.iθ / ,water + sharpness

36 of autumn,ysnal, / jsnˈal / ,moon + sharing

36 of spring,teshglar, / tˈeʃgl.ar / ,sound + woods

36 of summer,mloanalor, / mlo.an.ˈal.or / ,dawn + plant

36 of winter,klumloreshud, / kluml.or.ˈeʃ.ud / ,vine + ice

36,femlh, / fˈemɬ / ,three + twelve

37 of autumn,hol, / ħˈol / ,sweet + ???

37 of spring,dremshol, / drˈemʃ.ol / ,flower + fruit

37 of summer,lhenamral, / ɬen.ˈamr.al / ,dream + darkness

37 of winter,aysel, / ˈajs.el / ,moon + center

38 of autumn,lhenadrem, / ɬen.ˈadr.em / ,dream + flower

38 of spring,mraladlel, / mral.ˈadl.el / ,darkness + body

38 of summer,llhenalor, / lɬen.ˈal.or / ,sun + dream + plant

38 of winter,fol, / fˈol / ,sun + sweet

39 of autumn,mralaglar, / mral.ˈagl.ar / ,darkness + tree

39 of spring,yeolaglar, / je.ol.ˈagl.ar / ,truth + tree

39 of summer,shaninalhil, / ʃan.in.ˈaɬ.il / ,berry + night

39 of winter,lhenashanin, / ɬen.aʃ.ˈan.in / ,spirit + berry

4 of autumn,???, / ??? / ,???

4 of spring,dremrem, / drˈemr.em / ,flower + flower

4 of summer,lel, / lˈel / ,sun + branch

4 of winter,???, / ??? / ,???

4,tev, / tˈev / ,_

40 of autumn,nanathan, / nan.ˈaθ.an / ,star + tool

40 of spring,rithilenum, / riθ.il.ˈen.um / ,sky + path

40 of summer,selnan, / sˈeln.an / ,water + protection

40 of winter,shaingtlurith, / ʃa.iŋƛ.ˈur.iθ / ,ice + fog

41 of autumn,ysanin, / jsˈan.in / ,moon + berry

41 of spring,lanatan, / lan.ˈat.an / ,twilight + face

41 of summer,melsyaleth, / melsj.ˈal.eθ / ,life + food

41 of winter,nanaingtlun, / nan.a.ˈiŋƛ.un / ,star + tar

42 of autumn,kelumral, / kel.ˈumr.al / ,branch + darkness

42 of spring,ysotel, / jsˈot.el / ,moon + lake

42 of summer,nomen, / nˈom.en / ,sea + stone

42 of winter,???, / ??? / ,???

43 of autumn,shithol, / ʃˈiθ.ol / ,sharpness + sweet

43 of spring,mrilaglar, / mril.ˈagl.ar / ,sight + tree

43 of summer,mloanafor, / mlo.an.ˈaf.or / ,morning + writing

43 of winter,nanador, / nan.ˈad.or / ,star + blue

44 of autumn,munorhanashol, / mun.orħ.an.ˈaʃ.ol / ,dusk + fruit

44 of spring,rithilefethr, / riθ.il.ˈef.eθr / ,sky + speech

44 of summer,thangekel, / θaŋ.ˈek.el / ,leaf + branch

44 of winter,shakel, / ʃˈak.el / ,ice + branch

45 of autumn,???, / ??? / ,???

45 of spring,lrithitan, / lriθ.ˈit.an / ,storm + bird

45 of summer,lhenaysan, / ɬen.ˈajs.an / ,dream + moon + animal

45 of winter,rishwen, / rˈiʃw.en / ,kindness + beauty

46 of autumn,for, / fˈor / ,sun + action

46 of spring,nanatom, / nan.ˈat.om / ,star + root

46 of summer,lhenalor, / ɬen.ˈal.or / ,dream + plant

46 of winter,thatlun, / θˈaƛ.un / ,tool + joining

47 of autumn,lenan, / lˈen.an / ,hoe + covering

47 of spring,shasel, / ʃˈas.el / ,ice + water

47 of summer,shaninakel, / ʃan.in.ˈak.el / ,berry + branch

47 of winter,???, / ??? / ,???

48 of autumn,mloanashith, / mlo.an.ˈaʃ.iθ / ,morning + sharpness

48 of spring,shagang, / ʃˈag.aŋ / ,ice + tooth

48 of summer,holashol, / ħol.ˈaʃ.ol / ,sweet + fruit

48 of winter,klumloretush, / kluml.or.ˈet.uʃ / ,vine + cold

48,tev, / tˈev / ,four + twelve

49 of autumn,varethan, / var.ˈeθ.an / ,value + tool

49 of spring,nanashol, / nan.ˈaʃ.ol / ,star + fruit

49 of summer,dolaglar, / dol.ˈagl.ar / ,death + tree

49 of winter,aymen, / ˈajm.en / ,moon + earth

5 of autumn,nanamen, / nan.ˈam.en / ,star + earth

5 of spring,lrithan, / lrˈiθ.an / ,wind + animal

5 of summer,mloanatlan, / mlo.an.ˈaƛ.an / ,morning + animal

5 of winter,lrithan, / lrˈiθ.an / ,breath + tool

5,rem, / rˈem / ,_

50 of autumn,harathan, / ħar.ˈaθ.an / ,pain + tool

50 of spring,nanamnan, / nan.ˈamn.an / ,star + covering

50 of summer,selyethil, / selj.ˈeθ.il / ,water + home

51 of autumn,lethiledrem, / leθ.il.ˈedr.em / ,forest + flower

51 of spring,shimisel, / ʃim.ˈis.el / ,mystery + water

51 of summer,felakorim, / fel.ak.ˈor.im / ,sun + cycle

51 of winter,nanaglar, / nan.ˈagl.ar / ,star + tree

52 of autumn,lhenaysol, / ɬen.ˈajs.ol / ,dream + moon + fruit

52 of spring,mralshanin, / mralʃ.ˈan.in / ,darkness + berry

52 of summer,mralshol, / mrˈalʃ.ol / ,dark + fruit

52 of winter,lanalor, / lan.ˈal.or / ,twilight + plant

53 of autumn,thamlor, / θˈaml.or / ,tool + plant

53 of spring,femlor, / fˈeml.or / ,speaking + plant

53 of summer,ysayeol, / jsaj.ˈe.ol / ,moon + wisdom

53 of winter,shalor, / ʃˈal.or / ,ice + plant

54 of autumn,meloresyalethavar, / mel.or.esj.al.eθ.ˈav.ar / ,grain + value

54 of spring,lunum, / lˈun.um / ,sun + TEMP + present

54 of summer,kelulor, / kel.ˈul.or / ,branch + plant

54 of winter,kelusyaleth, / kel.usj.ˈal.eθ / ,branch + food

55 of autumn,shotlesh, / ʃˈoƛ.eʃ / ,river + sound

55 of spring,rithiletlan, / riθ.il.ˈeƛ.an / ,sky + animal

55 of summer,sethan, / sˈeθ.an / ,water + tool

55 of winter,mralesh, / mrˈal.eʃ / ,darkness + sound

56 of autumn,haraon, / ħar.ˈa.on / ,pain + mouth

56 of spring,mralsyalethashol, / mralsj.al.eθ.ˈaʃ.ol / ,darkness + food + fruit

